bed_id,allotment_1,allotment_2,a1_in,a1_out,a1_status,a2_in,a2_out,a2_status,overlap_start,overlap_end
235bd597-22a1-f0f2-0d40-a0a2f59f41fd,1ba4c129-2c50-449f-a8d9-d5da482f4d5a,de2d0f33-008f-484a-b327-a2ac4753c1b6,2023-02-05,2023-06-05,Exited,2023-05-13,2023-06-10,Exited,2023-05-13,2023-06-05
25cdb264-370f-4be0-5004-6aeb735c94aa,8407f632-d588-4d3e-ae96-bd55baafd4aa,ec4ceb31-f7e8-4478-b7c2-677f0db1d859,2023-12-02,2024-05-03,Exited,2024-05-01,2024-05-31,Exited,2024-05-01,2024-05-03
26ce09f1-599b-0d8d-aa06-c08db6a2dcde,38e67633-b581-40bb-b185-2ff884afe2f3,4f0effea-5b23-4cec-829d-13c7ba541fcf,2024-01-01,2024-06-15,Exited,2024-06-15,2024-07-16,Exited,2024-06-15,2024-06-15
26ce09f1-599b-0d8d-aa06-c08db6a2dcde,2cd51fed-59b9-4e9e-9568-67fbc1f25c17,953c914c-4d92-4ca0-91cf-69a5a15edbe9,2024-08-29,2024-12-19,Exited,2024-12-15,2025-03-16,Exited,2024-12-15,2024-12-19
26ce09f1-599b-0d8d-aa06-c08db6a2dcde,785642e6-1ae8-4a83-99b9-2b8348a0cc73,e3422f73-1205-4829-8df2-d134f29b5b5e,2025-06-07,2025-06-07,Exited,2025-03-17,2025-06-14,Exited,2025-06-07,2025-06-07
28adcae8-d3f2-7d01-473b-45f62020cdc0,8e5a25a3-aa63-48ba-9534-428a57218e69,eb09e1fa-a60c-47db-b729-0f89f0b65d61,2025-02-08,2025-06-30,Exited,2024-11-10,2025-05-28,Exited,2025-02-08,2025-05-28
28adcae8-d3f2-7d01-473b-45f62020cdc0,34509f3d-6069-42fa-ae57-c95d6ee75aa2,8e5a25a3-aa63-48ba-9534-428a57218e69,2025-06-07,2025-06-07,Exited,2025-02-08,2025-06-30,Exited,2025-06-07,2025-06-07
2ac95711-7b8e-8315-eae3-c0ad2ace7ade,18f378b6-2171-4974-95f9-ff41511149fa,21504961-3916-4e68-b659-02411365893e,2024-08-18,2025-04-30,Exited,2024-04-03,2024-09-02,Exited,2024-08-18,2024-09-02
39eacd05-ff7e-5541-7fe2-feddf8854c55,3d9062ff-4eaf-4049-b19c-313968ac6125,457cb561-fb62-48f5-9d62-a85a1323e543,2023-07-18,2023-08-18,Exited,2023-08-08,2023-12-24,Exited,2023-08-08,2023-08-18
39eacd05-ff7e-5541-7fe2-feddf8854c55,1ea77b42-81d1-4535-bfd4-de9a7bd31eca,4b2d4837-d16d-44d7-a05b-039c886602c9,2024-02-01,2024-12-08,Exited,2024-02-01,2024-03-31,Exited,2024-02-01,2024-03-31
39eacd05-ff7e-5541-7fe2-feddf8854c55,1b15a1a2-9fc0-49b4-813b-74c81725b2a3,1e9f3018-6098-4a56-934f-5484bca84f5b,2025-08-20,2025-11-09,Exited,2025-05-23,2025-08-21,Exited,2025-08-20,2025-08-21
3ba3be35-43a3-79f2-d76c-617b73cd813d,183c2ab7-dcbf-4046-837b-dc15eb7cd1c2,e4723e45-5307-488a-9973-c9dc33ab5ae4,2024-08-04,2024-12-31,Exited,2024-06-06,2024-08-04,Exited,2024-08-04,2024-08-04
3d87a782-0782-2c9a-8dd1-d06d80cf917b,06b5871f-d372-44f3-b954-354630efdbda,4dfe3fd6-1496-41bf-84f6-295089a69529,2023-09-04,2023-11-09,Exited,2023-09-01,2023-09-30,Exited,2023-09-04,2023-09-30
3d87a782-0782-2c9a-8dd1-d06d80cf917b,3d2bb31e-a4e2-4d67-b934-8fbb641505da,732a5356-417e-41a8-ac97-a5e5be93e8f4,2025-01-17,null,On-Notice,2023-11-21,2025-02-05,Exited,2025-01-17,2025-02-05
