table_schema,table_name,column_name,data_type,min_value,max_value,avg_value,negative_rows,zero_rows,looks_monetary
public,tenant_exits,key_loss_fee,numeric,0,0,0.0000,0,147,true
public,tenant_exits,pending_rent,numeric,-7188,27431,4463.0164,3,83,true
public,tenant_exits,refund_due,numeric,-1017,45000,10453.9496,1,57,true
public,tenant_exits,total_deductions,numeric,-7188,27431,4491.3973,3,82,true
public,tenant_transactions,amount,numeric,0,66266,14865.9875,0,2,true
public,tenants,age,integer,0,55,24.1765,0,1,false
public,tenants,tenant_rating,numeric,2.3,10,7.6259,0,0,false
public,ticket_assignment_rules,priority,integer,10,20,14.2857,0,0,false
public,ticket_cost_estimates,price,numeric,null,null,null,0,0,true
public,ticket_cost_estimates,quantity,integer,1,1,1.0000,0,0,false
public,ticket_cost_estimates,total,numeric,0,2300,517.2857,0,9,true
public,ticket_cost_estimates,unit_price,numeric,0,2300,517.2857,0,9,true
public,ticket_cost_estimates_dedupe_backup_20260715,price,numeric,null,null,null,0,0,true
public,ticket_cost_estimates_dedupe_backup_20260715,quantity,integer,1,1,1.0000,0,0,false
public,ticket_cost_estimates_dedupe_backup_20260715,total,numeric,0,525,145.8333,0,6,true
public,ticket_cost_estimates_dedupe_backup_20260715,unit_price,numeric,0,525,145.8333,0,6,true
public,ticket_number_counters,last_seq,integer,83,141,111.0000,0,0,false
public,ticket_number_counters,mm,smallint,4,8,6.0000,0,0,false
public,ticket_number_counters,yy,smallint,26,26,26.0000,0,0,false
public,ticket_purchases,actual_cost,numeric,105,1948,668.2500,0,0,true
public,ticket_purchases,estimated_cost,numeric,0,1948,487.0000,0,3,true
public,ticket_purchases,quantity,integer,1,1,1.0000,0,0,false
public,ticket_resolutions,actual_total_cost,numeric,0,5700,69.5947,0,437,true
public,ticket_resolutions,diagnostic_estimated_cost,numeric,200500,300500,250500.0000,0,0,true
public,ticket_resolutions,total_cost,numeric,0,5700,67.8026,0,449,true
public,ticket_resolutions,total_labour_cost,numeric,0,5700,57.0601,0,454,true
public,ticket_resolutions,total_parts_cost,numeric,0,1948,10.7425,0,460,true
public,tickets,total_cost,numeric,null,null,null,0,0,true
public,upi_tenant_mappings,confidence,numeric,null,null,null,0,0,false
public,vendors,vendor_rating,integer,1,1,1.0000,0,0,false
public,whatsapp_failures,attempt_count,integer,null,null,null,0,0,false
public,whatsapp_payment_submissions,ocr_amount,"numeric(14,2)",0.00,1800221070.00,4994754.5052,0,8,true
public,whatsapp_send_jobs,failed_count,integer,0,24,0.2532,0,352,false
public,whatsapp_send_jobs,sent_count,integer,0,182,5.6481,0,49,false
public,whatsapp_send_jobs,total_count,integer,1,182,6.1519,0,0,true
