schema_name,routine_name,arguments,return_type,kind,language,security_definer,source_length
public,gbt_bit_compress,internal,internal,function,c,false,16
public,gbt_float4_fetch,internal,internal,function,c,false,16
public,gbt_date_penalty,"internal, internal, internal",internal,function,c,false,16
public,gtrgm_decompress,internal,internal,function,c,false,16
public,gbt_float8_union,"internal, internal",gbtreekey16,function,c,false,16
public,gtrgm_consistent,"internal, text, smallint, oid, internal",boolean,function,c,false,16
public,gbt_float8_fetch,internal,internal,function,c,false,16
public,gbt_int2_penalty,"internal, internal, internal",internal,function,c,false,16
public,gbt_uuid_penalty,"internal, internal, internal",internal,function,c,false,16
public,gbt_bool_penalty,"internal, internal, internal",internal,function,c,false,16
public,gbt_float4_union,"internal, internal",gbtreekey8,function,c,false,16
public,gbt_macad8_fetch,internal,internal,function,c,false,16
public,gbt_int8_penalty,"internal, internal, internal",internal,function,c,false,16
public,gbt_macad8_union,"internal, internal",gbtreekey16,function,c,false,16
public,gbt_intv_penalty,"internal, internal, internal",internal,function,c,false,16
public,array_to_halfvec,"integer[], integer, boolean",halfvec,function,c,false,16
public,array_to_halfvec,"real[], integer, boolean",halfvec,function,c,false,16
public,gbt_cash_penalty,"internal, internal, internal",internal,function,c,false,16
public,array_to_halfvec,"double precision[], integer, boolean",halfvec,function,c,false,16
public,array_to_halfvec,"numeric[], integer, boolean",halfvec,function,c,false,16
public,binary_quantize,vector,bit,function,c,false,15
public,daitch_mokotoff,text,text[],function,c,false,15
public,unaccent_lexize,"internal, internal, internal, internal",internal,function,c,false,15
public,gbt_oid_penalty,"internal, internal, internal",internal,function,c,false,15
public,gbt_float4_same,"gbtreekey8, gbtreekey8, internal",internal,function,c,false,15
public,gbt_float8_same,"gbtreekey16, gbtreekey16, internal",internal,function,c,false,15
public,gbt_ts_distance,"internal, timestamp without time zone, smallint, oid, internal",double precision,function,c,false,15
public,gbt_ts_compress,internal,internal,function,c,false,15
public,gbt_macad_fetch,internal,internal,function,c,false,15
public,gbt_macad_union,"internal, internal",gbtreekey16,function,c,false,15
public,gbt_bytea_union,"internal, internal",gbtreekey_var,function,c,false,15
public,gbt_bit_penalty,"internal, internal, internal",internal,function,c,false,15
public,gbt_macad8_same,"gbtreekey16, gbtreekey16, internal",internal,function,c,false,15
public,word_similarity,"text, text",real,function,c,false,15
public,similarity_dist,"text, text",real,function,c,false,15
public,gtrgm_picksplit,"internal, internal",internal,function,c,false,15
public,cosine_distance,"vector, vector",double precision,function,c,false,15
