table_schema,table_name,ordinal_position,column_name,data_type,base_type_name,type_category,is_nullable,column_default,is_enum,is_array
public,apartments,29,star_rating_override,boolean,bool,B,true,false,false,false
public,asset_allocations,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,asset_allocations,2,organization_id,uuid,uuid,U,false,null,false,false
public,asset_allocations,3,asset_id,uuid,uuid,U,false,null,false,false
public,asset_allocations,4,allocation_type,text,text,S,false,null,false,false
public,asset_allocations,5,property_id,uuid,uuid,U,true,null,false,false
public,asset_allocations,6,apartment_id,uuid,uuid,U,true,null,false,false
public,asset_allocations,7,bed_id,uuid,uuid,U,true,null,false,false
public,asset_allocations,8,allocated_date,date,date,D,true,CURRENT_DATE,false,false
public,asset_allocations,9,allocated_by,uuid,uuid,U,true,null,false,false
public,asset_allocations,10,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,asset_brands,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,asset_brands,2,name,text,text,S,false,null,false,false
public,asset_brands,3,organization_id,uuid,uuid,U,false,null,false,false
public,asset_brands,4,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,asset_categories,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,asset_categories,2,organization_id,uuid,uuid,U,false,null,false,false
public,asset_categories,3,name,text,text,S,false,null,false,false
public,asset_categories,4,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,asset_depreciation,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,asset_depreciation,2,asset_id,uuid,uuid,U,false,null,false,false
public,asset_depreciation,3,purchase_price,"numeric(10,2)",numeric,N,true,null,false,false
public,asset_depreciation,4,residual_value,"numeric(10,2)",numeric,N,true,0,false,false
public,asset_depreciation,5,useful_life_years,"numeric(5,2)",numeric,N,true,null,false,false
public,asset_depreciation,6,current_book_value,"numeric(10,2)",numeric,N,true,null,false,false
public,asset_depreciation,7,yearly_depreciation,"numeric(10,2)",numeric,N,true,null,false,false
public,asset_depreciation,8,last_calculated,timestamp with time zone,timestamptz,D,true,now(),false,false
public,asset_depreciation,9,organization_id,uuid,uuid,U,false,null,false,false
public,asset_maintenance_logs,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,asset_maintenance_logs,2,organization_id,uuid,uuid,U,false,null,false,false
public,asset_maintenance_logs,3,asset_id,uuid,uuid,U,false,null,false,false
public,asset_maintenance_logs,4,maintenance_type,text,text,S,false,null,false,false
public,asset_maintenance_logs,5,issue,text,text,S,true,null,false,false
public,asset_maintenance_logs,6,repair_cost,"numeric(10,2)",numeric,N,true,null,false,false
