table_schema,table_name,index_name,is_unique,is_partial,definition
public,expenses,idx_expenses_subcategory_id,false,false,CREATE INDEX idx_expenses_subcategory_id ON public.expenses USING btree (subcategory_id)
public,expenses,idx_expenses_vendor_id,false,false,CREATE INDEX idx_expenses_vendor_id ON public.expenses USING btree (vendor_id)
public,export_entity_registry,export_entity_registry_pkey,true,false,CREATE UNIQUE INDEX export_entity_registry_pkey ON public.export_entity_registry USING btree (entity_key)
public,financial_audit_log,financial_audit_log_pkey,true,false,CREATE UNIQUE INDEX financial_audit_log_pkey ON public.financial_audit_log USING btree (id)
public,financial_audit_log,idx_fal_je,false,false,CREATE INDEX idx_fal_je ON public.financial_audit_log USING btree (journal_entry_id)
public,financial_audit_log,idx_fal_org_period,false,false,"CREATE INDEX idx_fal_org_period ON public.financial_audit_log USING btree (organization_id, period)"
public,financial_audit_log,idx_fal_source,false,false,"CREATE INDEX idx_fal_source ON public.financial_audit_log USING btree (source_table, source_id)"
public,gst_monthly_workings,gst_monthly_workings_org_generated_idx,false,false,"CREATE INDEX gst_monthly_workings_org_generated_idx ON public.gst_monthly_workings USING btree (organization_id, generated_at DESC)"
public,gst_monthly_workings,gst_monthly_workings_org_month_year_unique,true,false,"CREATE UNIQUE INDEX gst_monthly_workings_org_month_year_unique ON public.gst_monthly_workings USING btree (organization_id, month, year)"
public,gst_monthly_workings,gst_monthly_workings_pkey,true,false,CREATE UNIQUE INDEX gst_monthly_workings_pkey ON public.gst_monthly_workings USING btree (id)
public,invoice_line_items,idx_invoice_line_items_org,false,false,CREATE INDEX idx_invoice_line_items_org ON public.invoice_line_items USING btree (organization_id)
public,invoice_line_items,invoice_line_items_pkey,true,false,CREATE UNIQUE INDEX invoice_line_items_pkey ON public.invoice_line_items USING btree (id)
public,invoice_pdf_configs,invoice_pdf_configs_organization_id_config_type_key,true,false,"CREATE UNIQUE INDEX invoice_pdf_configs_organization_id_config_type_key ON public.invoice_pdf_configs USING btree (organization_id, config_type)"
public,invoice_pdf_configs,invoice_pdf_configs_pkey,true,false,CREATE UNIQUE INDEX invoice_pdf_configs_pkey ON public.invoice_pdf_configs USING btree (id)
public,invoices,idx_invoices_org_billing_month,false,false,"CREATE INDEX idx_invoices_org_billing_month ON public.invoices USING btree (organization_id, billing_month)"
public,invoices,idx_invoices_org_invoice_date,false,false,"CREATE INDEX idx_invoices_org_invoice_date ON public.invoices USING btree (organization_id, invoice_date)"
public,invoices,idx_invoices_org_month_status,false,true,"CREATE INDEX idx_invoices_org_month_status ON public.invoices USING btree (organization_id, billing_month, status) WHERE (is_deleted = false)"
public,invoices,idx_invoices_org_tenant_live,false,true,"CREATE INDEX idx_invoices_org_tenant_live ON public.invoices USING btree (organization_id, tenant_id) WHERE (NOT COALESCE(is_deleted, false))"
public,invoices,idx_invoices_property_id,false,false,CREATE INDEX idx_invoices_property_id ON public.invoices USING btree (property_id)
public,invoices,idx_invoices_reference,false,true,"CREATE INDEX idx_invoices_reference ON public.invoices USING btree (reference_type, reference_id) WHERE (reference_type IS NOT NULL)"
public,invoices,idx_invoices_status,false,false,CREATE INDEX idx_invoices_status ON public.invoices USING btree (status)
public,invoices,idx_invoices_tenant,false,false,CREATE INDEX idx_invoices_tenant ON public.invoices USING btree (tenant_id)
public,invoices,idx_invoices_tenant_month,false,true,"CREATE INDEX idx_invoices_tenant_month ON public.invoices USING btree (tenant_id, billing_month) WHERE (is_deleted = false)"
