table_schema,table_name,column_name,data_type,total_rows,non_null_rows,min_value,max_value,distinct_days,distinct_months,rows_before_2019,rows_after_today
public,purchase_orders,order_date,date,0,0,null,null,0,0,0,0
public,receipt_allocations,allocated_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,receipt_number_counters,updated_at,timestamp with time zone,8,8,2026-05-20 10:42:14.677527+00,2026-08-29 04:29:03.299429+00,7,4,0,1
public,receipts,created_at,timestamp with time zone,5858,5858,2026-03-28 04:42:46.267553+00,2026-08-29 04:29:03.478242+00,109,6,0,1
public,receipts,payment_date,date,5858,5858,2022-11-30,2026-08-28,843,46,0,0
public,receipts_dedup_audit,detected_at,timestamp with time zone,9,9,2026-04-22 05:50:28.900039+00,2026-04-22 05:50:28.900039+00,1,1,0,0
public,receipts_dedup_audit,payment_date,date,9,9,2023-09-02,2026-04-04,9,9,0,0
public,regular_maintenance_rules,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,regular_maintenance_rules,last_run_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,regular_maintenance_rules,next_run_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,regular_maintenance_rules,start_date,date,0,0,null,null,0,0,0,0
public,replacement_forecasts,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,replacement_forecasts,expected_replacement_date,date,0,0,null,null,0,0,0,0
public,role_permissions,created_at,timestamp with time zone,122,122,2026-03-19 09:33:07.518719+00,2026-07-18 06:21:05.325752+00,19,5,0,0
public,role_permissions,updated_at,timestamp with time zone,122,122,2026-03-19 09:33:07.518719+00,2026-07-18 06:21:05.325752+00,18,5,0,0
public,room_switches,cancelled_at,timestamp with time zone,34,8,2026-05-27 07:18:29.186+00,2026-07-17 07:16:33.167+00,3,2,0,0
public,room_switches,completed_at,timestamp with time zone,34,26,2026-05-17 06:41:03.115+00,2026-08-25 12:12:06.036+00,14,4,0,0
public,room_switches,created_at,timestamp with time zone,34,34,2026-05-17 06:41:03.349492+00,2026-08-25 12:12:04.878575+00,19,4,0,0
public,room_switches,effective_date,date,34,34,2026-05-01,2026-08-28,22,4,0,0
public,room_switches,switch_date,date,34,34,2026-05-16,2026-08-28,21,4,0,0
public,running_bed_maintenance_details,created_at,timestamp with time zone,23,23,2026-04-24 13:24:41.038067+00,2026-08-24 10:06:20.72133+00,17,5,0,0
public,subscription_plans,created_at,timestamp with time zone,4,4,2026-04-05 12:25:57.899319+00,2026-04-05 12:25:57.899319+00,1,1,0,0
public,tab_permissions,created_at,timestamp with time zone,405,405,2026-03-23 12:18:41.133564+00,2026-06-24 07:53:24.097912+00,15,4,0,0
public,tab_permissions,updated_at,timestamp with time zone,405,405,2026-03-23 12:20:26.366376+00,2026-06-30 05:42:15.519+00,13,4,0,0
public,team_attendance,created_at,timestamp with time zone,1320,1320,2026-04-22 08:45:50.763395+00,2026-08-29 05:16:55.391482+00,115,5,0,11
public,team_attendance,date,date,1320,1320,2026-03-11,2026-08-29,147,6,0,0
public,team_departments,created_at,timestamp with time zone,4,4,2026-07-23 09:06:59.313169+00,2026-07-23 09:09:38.109213+00,1,1,0,0
public,team_departments,updated_at,timestamp with time zone,4,4,2026-07-23 09:06:59.313169+00,2026-07-23 09:09:38.109213+00,1,1,0,0
public,team_members,created_at,timestamp with time zone,20,20,2026-03-17 06:44:22.200623+00,2026-07-07 12:29:07.92477+00,10,4,0,0
public,team_members,date_of_birth,date,20,2,1976-07-25,2001-07-13,2,2,2,0
